features,score
:ABO_radiation_1,0.0008643346530760293
:ABO_delta_pressure_1,0.0014386395436019786
:ABO_air_temp_1,0.0009974422458872605
:ABO_sunshine_1,0.0001611832228982019
:ABO_wind_1,0.0030040110941802855
:ABO_wind_direction_1,0.0015993572968909789
:ALT_radiation_1,0.0006410196875677051
:ALT_delta_pressure_1,0.0015583072658017605
:ALT_air_temp_1,0.001128676870630387
:ALT_sunshine_1,0.0002558777191453705
:ALT_wind_1,0.0012996582135877688
:ALT_wind_direction_1,0.002271332763118393
:BAS_radiation_1,0.0008421160919261482
:BAS_delta_pressure_1,0.0013754237496466659
:BAS_air_temp_1,0.0015468701659991663
:BAS_sunshine_1,0.0004497933446555669
:BAS_wind_1,0.0015455350706720357
:BAS_wind_direction_1,0.0010056035099097124
:BER_radiation_1,0.0006025039625298112
:BER_delta_pressure_1,0.001487641353480268
:BER_air_temp_1,0.0023575559678131954
:BER_sunshine_1,0.00010738388880282786
:BER_wind_1,0.001534222700787585
:BER_wind_direction_1,0.0026932502191737606
:CHU_radiation_1,0.0005494143312374642
:CHU_delta_pressure_1,0.0013578594939014665
:CHU_air_temp_1,0.0017708000160132178
:CHU_sunshine_1,0.0002846100506512894
:CHU_wind_1,0.0014114436670491705
:CHU_wind_direction_1,0.001185113938088876
:DAV_radiation_1,0.000707755818383589
:DAV_delta_pressure_1,0.0009067158367086902
:DAV_air_temp_1,0.0010364567463230104
:DAV_sunshine_1,0.00010931750201543458
:DAV_wind_1,0.0010619201745114381
:DAV_wind_direction_1,0.001053303927640068
:ENG_radiation_1,0.0011699873715661942
:ENG_delta_pressure_1,0.001512845556852667
:ENG_air_temp_1,0.0008336920481100368
:ENG_sunshine_1,6.01248398804105e-5
:ENG_wind_1,0.0007493886963380697
:ENG_wind_direction_1,0.0009893464758562798
:GVE_radiation_1,0.0008194998701763127
:GVE_delta_pressure_1,0.0010778112583102737
:GVE_air_temp_1,0.00339214433189969
:GVE_sunshine_1,0.0009738901023650029
:GVE_wind_1,0.004092505587052761
:GVE_wind_direction_1,0.002860609877034691
:INT_radiation_1,0.0006782186625571833
:INT_delta_pressure_1,0.0012370104373704597
:INT_air_temp_1,0.002409371183168354
:INT_sunshine_1,7.163182667980644e-5
:INT_wind_1,0.0011921485037379486
:INT_wind_direction_1,0.0008996779095404114
:CDF_radiation_1,0.0007940197861051674
:CDF_delta_pressure_1,0.0013820156485438917
:CDF_air_temp_1,0.0026819887291958167
:CDF_sunshine_1,0.00026794474231009067
:CDF_wind_1,0.0017895320365188927
:CDF_wind_direction_1,0.005465453791054799
:OTL_radiation_1,0.000852569296131869
:OTL_delta_pressure_1,0.0006343435103745857
:OTL_air_temp_1,0.0007745402056111775
:OTL_sunshine_1,0.00021363089177693441
:OTL_wind_1,0.0010856202761625315
:OTL_wind_direction_1,0.0011235211964707211
:LUG_radiation_1,0.0006629753045273231
:LUG_delta_pressure_1,0.0009028278619111313
:LUG_air_temp_1,0.0011701676889974864
:LUG_sunshine_1,0.00023360277005357946
:LUG_wind_1,0.0008850671687146725
